host_gen,pathogen_gen,assay_run,ramping_rate,CTmax
H,C1,21/3/17,0.06,38.479
H,C1,21/3/17,0.06,37.499
H,C1,21/3/17,0.06,38.204
H,C1,21/3/17,0.06,38.306
H,C1,21/3/17,0.06,38.344
H,C1,21/3/17,0.06,38.227
H,C14,21/3/17,0.06,37.82
H,C14,21/3/17,0.06,38.707
H,C14,21/3/17,0.06,38.353
H,C14,21/3/17,0.06,38.434
H,C14,21/3/17,0.06,38.259
H,C14,21/3/17,0.06,38.061
H,C20,21/3/17,0.06,38.472
H,C20,21/3/17,0.06,NA
H,C20,21/3/17,0.06,38.453
H,C20,21/3/17,0.06,38.699
H,C20,21/3/17,0.06,38.523
H,C20,21/3/17,0.06,38.295
H,CTRL,21/3/17,0.06,38.892
H,CTRL,21/3/17,0.06,38.65
H,CTRL,21/3/17,0.06,38.797
H,CTRL,21/3/17,0.06,37.926
H,CTRL,21/3/17,0.06,38.434
H,CTRL,21/3/17,0.06,38.907
H,C1,23/3/17,0.06,37.974
H,C1,23/3/17,0.06,38.164
H,C1,23/3/17,0.06,37.846
H,C1,23/3/17,0.06,38.097
H,C1,23/3/17,0.06,37.948
H,C1,23/3/17,0.06,37.67
H,C14,23/3/17,0.06,37.915
H,C14,23/3/17,0.06,37.982
H,C14,23/3/17,0.06,37.993
H,C14,23/3/17,0.06,37.861
H,C14,23/3/17,0.06,38.061
H,C14,23/3/17,0.06,37.893
H,C20,23/3/17,0.06,37.88
H,C20,23/3/17,0.06,37.969
H,C20,23/3/17,0.06,38.232
H,C20,23/3/17,0.06,38.04
H,C20,23/3/17,0.06,38.022
H,C20,23/3/17,0.06,37.903
H,CTRL,23/3/17,0.06,38.529
H,CTRL,23/3/17,0.06,38.14
H,CTRL,23/3/17,0.06,37.923
H,CTRL,23/3/17,0.06,38.251
H,CTRL,23/3/17,0.06,38.12
H,CTRL,23/3/17,0.06,38.269
H,C1,27/3/17,0.06,38.506
H,C1,27/3/17,0.06,38.182
H,C1,27/3/17,0.06,38.172
H,C1,27/3/17,0.06,38.527
H,C1,27/3/17,0.06,38.283
H,C1,27/3/17,0.06,37.985
H,C1,29/3/17,0.06,38.294
H,C1,29/3/17,0.06,38.331
H,C1,29/3/17,0.06,38.898
H,C1,29/3/17,0.06,38.272
H,C1,29/3/17,0.06,38.855
H,C1,29/3/17,0.06,38.426
H,C1,31/3/17,0.06,38.573
H,C1,31/3/17,0.06,38.261
H,C1,31/3/17,0.06,38.107
H,C1,31/3/17,0.06,38.076
H,C1,31/3/17,0.06,38.779
H,C1,31/3/17,0.06,38.089
H,C14,27/3/17,0.06,38.551
H,C14,27/3/17,0.06,38.599
H,C14,27/3/17,0.06,38.442
H,C14,27/3/17,0.06,38.543
H,C14,27/3/17,0.06,38.467
H,C14,27/3/17,0.06,38.311
H,C14,29/3/17,0.06,38.817
H,C14,29/3/17,0.06,38.966
H,C14,29/3/17,0.06,38.772
H,C14,29/3/17,0.06,38.637
H,C14,29/3/17,0.06,38.805
H,C14,29/3/17,0.06,38.865
H,C14,31/3/17,0.06,38.274
H,C14,31/3/17,0.06,38.487
H,C14,31/3/17,0.06,38.062
H,C14,31/3/17,0.06,38.123
H,C14,31/3/17,0.06,38.729
H,C14,31/3/17,0.06,38.645
H,C20,27/3/17,0.06,37.71
H,C20,27/3/17,0.06,38.137
H,C20,27/3/17,0.06,38.461
H,C20,27/3/17,0.06,38.586
H,C20,27/3/17,0.06,38.194
H,C20,27/3/17,0.06,37.934
H,C20,29/3/17,0.06,38.709
H,C20,29/3/17,0.06,38.955
H,C20,29/3/17,0.06,38.526
H,C20,29/3/17,0.06,38.606
H,C20,29/3/17,0.06,38.192
H,C20,29/3/17,0.06,38.748
H,C20,31/3/17,0.06,38.331
H,C20,31/3/17,0.06,38.877
H,C20,31/3/17,0.06,38.532
H,C20,31/3/17,0.06,38.182
H,C20,31/3/17,0.06,38.294
H,C20,31/3/17,0.06,38.45
H,CTRL,27/3/17,0.06,38.379
