"date","run","tube","bopyrid","rank","time","ramp_rate","ctmax"
2023-02-28,2,1,"no",3,43.0166666666667,0.212062937062929,36.9652777777778
2023-02-28,2,2,"yes",9,41.0833333333333,0.209615384615378,36.5458333333333
2023-02-28,2,3,"yes",5,42.45,0.207167832167826,36.8368055555556
2023-02-28,2,4,"no",8,41.55,0.209615384615378,36.6333333333333
2023-02-28,2,5,"no",10,40.0666666666667,0.210139860139851,36.328125
2023-02-28,2,6,"yes",2,43.15,0.212062937062929,36.9791666666667
2023-02-28,2,7,"yes",6,42.1,0.207167832167826,36.75
2023-02-28,2,8,"no",7,41.9,0.209615384615378,36.7083333333333
2023-02-28,2,9,"no",4,42.7,0.207167832167826,36.8875
2023-02-28,2,10,"yes",1,43.65,0.212062937062929,37.1041666666667
